ShortFilename,CorrectWord1,CorrectWord2,CorrectWord3,CorrectWord4,Surrounding,ThirdWord
8a.wav,bishop|bishope|biship|bishiop|bishop|bishp|bisshp|bisdhop|bishup,gusher,gossip|gosip|gossi|goosip|gossipp,bishop|bishope|biship|bishiop|bishop|bishp|bisshp|bisdhop|bishup,Fricative,Shifted
8a_16.wav,bishop|bishope|biship|bishiop|bishop|bishp|bisshp|bisdhop|bishup,gusher,tacky|tackey|takcy|tackie,bishop|bishope|biship|bishiop|bishop|bishp|bisshp|bisdhop|bishup,Fricative,Filler
6b.wav,blossom|blossum|blosson|blosom|bloosem|blossem|bloosum|blosssom|bloosom|bossom,pressing,blushing|blueshing|blushin|blushig|blusing|bolushing,blossom|blossum|blosson|blosom|bloosem|blossem|bloosum|blosssom|bloosom|bossom,Fricative,Shifted
6b_14.wav,blossom|blossum|blosson|blosom|bloosem|blossem|bloosum|blosssom|bloosom|bossom,pressing,leader|liter|learder|litter|lieder|leader,blossom|blossum|blosson|blosom|bloosem|blossem|bloosum|blosssom|bloosom|bossom,Fricative,Filler
6a.wav,blushing|blueshing|blushin|blushig|blusing|bolushing,pressure|pressur|pressue|presure,blossom|blossum|blosson|blosom|bloosem|blossem|bloosum|blosssom|bloosom|bossom,blushing|blueshing|blushin|blushig|blusing|bolushing,Fricative,Shifted
6a_14.wav,blushing|blueshing|blushin|blushig|blusing|bolushing,pressure|pressur|pressue|presure,leader|liter|learder|litter|lieder|leader,blushing|blueshing|blushin|blushig|blusing|bolushing,Fricative,Filler
22.wav,bullet|bukket|bullett|bullit,happy,hamlet|hamelt|halmet|hamelot|hamlett|hamley|hamlit,happy,Filler,Filler
19.wav,carry|cary|carrie|carey|carie|carrey|kary|kerry,making|makin|makiny,marry|merry|mary|marie,making|makin|makiny,Filler,Filler
5a.wav,cashew|cahew|cahsew|cashe|casheew|cashu|cashue|cashuew|kashu|caschew,kosher|cosher|koshier|coscher|coshier|coshure|cosure|koser|koshure,castle|castke|castel|cassle|casle|catsle,cashew|cahew|cahsew|cashe|casheew|cashu|cashue|cashuew|kashu|caschew,Fricative,Shifted
5a_13.wav,cashew|cahew|cahsew|cashe|casheew|cashu|cashue|cashuew|kashu|caschew,kosher|cosher|koshier|coscher|coshier|coshure|cosure|koser|koshure,human|huamn,cashew|cahew|cahsew|cashe|casheew|cashu|cashue|cashuew|kashu|caschew,Fricative,Filler
5b.wav,castle|castke|castel|cassle|casle|catsle,missile|missle|missal|missel|mistle,cashew|cahew|cahsew|cashe|casheew|cashu|cashue|cashuew|kashu|caschew,castle|castke|castel|cassle|casle|catsle,Fricative,Shifted
5b_13.wav,castle|castke|castel|cassle|casle|catsle,missile|missle|missal|missel|mistle,human|huamn,castle|castke|castel|cassle|casle|catsle,Fricative,Filler
3b.wav,classic|clasic|classc|clasisc|clasic|classis|classi,glassy,crucial|cruicial|cruciaal|crucial+|cruical|crusial|crutial|curcial|cursual|crocial|cruial|crushal|crusual,classic|clasic|classc|clasisc|clasic|classis|classi,Fricative,Shifted
3b_11.wav,classic|clasic|classc|clasisc|clasic|classis|classi,glassy,raking|wraking,classic|clasic|classc|clasisc|clasic|classis|classi,Fricative,Filler
3a.wav,crucial|cruicial|cruciaal|crucial+|cruical|crusial|crutial|curcial|cursual|crocial|cruial|crushal|crusual,glacial|glaciel,classic|clasic|classc|clasisc|clasic|classis|classi,crucial|cruicial|cruciaal|crucial+|cruical|crusial|crutial|curcial|cursual|crocial|cruial|crushal|crusual,Fricative,Shifted
3a_11.wav,crucial|cruicial|cruciaal|crucial+|cruical|crusial|crutial|curcial|cursual|crocial|cruial|crushal|crusual,glacial|glaciel,raking|wraking,crucial|cruicial|cruciaal|crucial+|cruical|crusial|crutial|curcial|cursual|crocial|cruial|crushal|crusual,Fricative,Filler
20.wav,debit|debbit,rookie|rokkie|rooky|rokie|roockie|rookey|roookie|ruki|ruky,rabbit|rabit|rabitt|rabbot|rabbbit|rabbi|rabibt,rookie|rokkie|rooky|rokie|roockie|rookey|roookie|ruki|ruky,Filler,Filler
30.wav,gaming,pedal|petal|peddle,pudding|putting,pedal|petal|peddle,Filler,Filler
11_3a.wav,gecko|gecco|geco|geko|gheco|geckko|getcko|gekko|ghecko|guecko|gekco,ruby|rubi|rubby|rubie,classic|clasic|classc|clasisc|clasic|classis|classi,gecko|gecco|geco|geko|gheco|geckko|getcko|gekko|ghecko|guecko|gekco,Filler,Shifted
11_3b.wav,gecko|gecco|geco|geko|gheco|geckko|getcko|gekko|ghecko|guecko|gekco,ruby|rubi|rubby|rubie,crucial|cruicial|cruciaal|crucial+|cruical|crusial|crutial|curcial|cursual|crocial|cruial|crushal|crusual,gecko|gecco|geco|geko|gheco|geckko|getcko|gekko|ghecko|guecko|gekco,Filler,Shifted
11.wav,gecko|gecco|geco|geko|gheco|geckko|getcko|gekko|ghecko|guecko|gekco,ruby|rubi|rubby|rubie,raking|wraking,gecko|gecco|geco|geko|gheco|geckko|getcko|gekko|ghecko|guecko|gekco,Filler,Filler
8b.wav,gossip|gosip|gossi|goosip|gossipp,bicep|bisep|bicept|biscep|bysep|bivept,bishop|bishope|biship|bishiop|bishop|bishp|bisshp|bisdhop|bishup,gossip|gosip|gossi|goosip|gossipp,Fricative,Shifted
8b_16.wav,gossip|gosip|gossi|goosip|gossipp,bicep|bisep|bicept|biscep|bysep|bivept,tacky|tackey|takcy|tackie,gossip|gosip|gossi|goosip|gossipp,Fricative,Filler
14_6a.wav,header|headere,leaning|leanin|liening|leeaning,blossom|blossum|blosson|blosom|bloosem|blossem|bloosum|blosssom|bloosom|bossom,leaning|leanin|liening|leeaning,Filler,Shifted
14_6b.wav,header|headere,leaning|leanin|liening|leeaning,blushing|blueshing|blushin|blushig|blusing|bolushing,leaning|leanin|liening|leeaning,Filler,Shifted
14.wav,header|headere,leaning|leanin|liening|leeaning,leader|liter|learder|litter|lieder|leader,leaning|leanin|liening|leeaning,Filler,Filler
21.wav,hidden|hiden,berry|barry|berrie,button,berry|barry|berrie,Filler,Filler
10.wav,holler|hollar|hauler|holer|hollder|holar|holle|hollor|hallor,tamper,hamper,holler|hollar|hauler|holer|hollder|holar|holle|hollor|hallor,Filler,Filler
10_1b.wav,holler|hollar|hauler|holer|hollder|holar|holle|hollor|hallor,tamper,passion|pasion|pashion|passiom|passsion,holler|hollar|hauler|holer|hollder|holar|holle|hollor|hallor,Filler,Shifted
10_1a.wav,holler|hollar|hauler|holer|hollder|holar|holle|hollor|hallor,tamper,passive|pasive|passsive,holler|hollar|hauler|holer|hollder|holar|holle|hollor|hallor,Filler,Shifted
31.wav,holy|holey|wholly,token|tokin,hiking,token|tokin,Filler,Filler
26.wav,honor,towel,tiny,honor,Filler,Filler
9.wav,kelly|kelley|kelli|kelyl|kely|kellie|keely,bigot|biggot|biget|bigget|biggit|bigit|bigoet|bigt,belly,kelly|kelley|kelli|kelyl|kely|kellie|keely,Filler,Filler
9_2b.wav,kelly|kelley|kelli|kelyl|kely|kellie|keely,bigot|biggot|biget|bigget|biggit|bigit|bigoet|bigt,cushion|cusion|cushoin|coushin|cushio|cushon|cussion,kelly|kelley|kelli|kelyl|kely|kellie|keely,Filler,Shifted
9_2a.wav,kelly|kelley|kelli|kelyl|kely|kellie|keely,bigot|biggot|biget|bigget|biggit|bigit|bigoet|bigt,kissing|kising|kisisng|kissng,kelly|kelley|kelli|kelyl|kely|kellie|keely,Filler,Shifted
2b_9.wav,kissing|kising|kisisng|kissng,missing,belly,kissing|kising|kisisng|kissng,Fricative,Filler
2b.wav,kissing|kising|kisisng|kissng,missing,cushion|cusion|cushoin|coushin|cushio|cushon|cussion,kissing|kising|kisisng|kissng,Fricative,Shifted
13_5b.wav,layman,hating|hatin|hateting|hating,cashew|cahew|cahsew|cashe|casheew|cashu|cashue|cashuew|kashu|caschew,hating|hatin|hateting|hating,Filler,Shifted
13_5a.wav,layman,hating|hatin|hateting|hating,castle|castke|castel|cassle|casle|catsle,hating|hatin|hateting|hating,Filler,Shifted
13.wav,layman,hating|hatin|hateting|hating,human|huamn,hating|hatin|hateting|hating,Filler,Filler
1a_10.wav,passion|pasion|pashion|passiom|passsion,mansion|manison|masion,hamper,passion|pasion|pashion|passiom|passsion,Fricative,Filler
1a.wav,passion|pasion|pashion|passiom|passsion,mansion|manison|masion,passive|pasive|passsive,passion|pasion|pashion|passiom|passsion,Fricative,Shifted
1b_10.wav,passive|pasive|passsive,massive,hamper,passive|pasive|passsive,Fricative,Filler
1b.wav,passive|pasive|passsive,massive,passion|pasion|pashion|passiom|passsion,passive|pasive|passsive,Fricative,Shifted
4a_12.wav,pension|penion|penson|pention|pencion|penshion|penision|penssion,mission|mission|misson,hammer,pension|penion|penson|pention|pencion|penshion|penision|penssion,Fricative,Filler
4a.wav,pension|penion|penson|pention|pencion|penshion|penision|penssion,mission|mission|misson,possum|possuam|posom|posome|posuum|possom|posum|possim|possium|possoum|possuem|pssum,pension|penion|penson|pention|pencion|penshion|penision|penssion,Fricative,Shifted
18.wav,polly|poly|pauly|pauley|pauli|paulie|paulie?|paully|poli|polley|pollie,gaping|gapeing|gapin|gayping|gaoing|gapign,goalie|goaley|goaly|golie|goalee,gaping|gapeing|gapin|gayping|gaoing|gapign,Filler,Filler
2a_9.wav,pushing|gpushing|pushin|pusing,cushion|cusion|cushoin|coushin|cushio|cushon|cussion,belly,pushing|gpushing|pushin|pusing,Fricative,Filler
2a.wav,pushing|gpushing|pushin|pusing,cushion|cusion|cushoin|coushin|cushio|cushon|cussion,kissing|kising|kisisng|kissng,pushing|gpushing|pushin|pusing,Fricative,Shifted
7b_15.wav,ransom|ranson|ramsom|ranspm|ransome|ansom|rasom,wussy|wussie|wussey|wusey|wusy,napping|nappin|naping,ransom|ranson|ramsom|ranspm|ransome|ansom|rasom,Fricative,Filler
7b.wav,ransom|ranson|ramsom|ranspm|ransome|ansom|rasom,wussy|wussie|wussey|wusey|wusy,ration|rashion|rashon|rasion|rassion|rashien|rashin,ransom|ranson|ramsom|ranspm|ransome|ansom|rasom,Fricative,Shifted
7a_15.wav,ration|rashion|rashon|rasion|rassion|rashien|rashin,washing|washin|wahing,napping|nappin|naping,ration|rashion|rashon|rasion|rassion|rashien|rashin,Fricative,Filler
7a.wav,ration|rashion|rashon|rasion|rassion|rashien|rashin,washing|washin|wahing,ransom|ranson|ramsom|ranspm|ransome|ansom|rasom,ration|rashion|rashon|rasion|rassion|rashien|rashin,Fricative,Shifted
28.wav,ready,pepper,picnic,ready,Filler,Filler
12.wav,tamer|taimer|tmaer,hater,hammer,tamer|taimer|tmaer,Filler,Filler
12_4b.wav,tamer|taimer|tmaer,hater,pension|penion|penson|pention|pencion|penshion|penision|penssion,tamer|taimer|tmaer,Filler,Shifted
12_4a.wav,tamer|taimer|tmaer,hater,possum|possuam|posom|posome|posuum|possom|posum|possim|possium|possoum|possuem|pssum,tamer|taimer|tmaer,Filler,Shifted
29.wav,tiger,boring|boaring|baoring,baggy|baggie,boring|boaring|baoring,Filler,Filler
4b_12.wav,tossing|tossin|tossing|trossing,possum|possuam|posom|posome|posuum|possom|posum|possim|possium|possoum|possuem|pssum,hammer,tossing|tossin|tossing|trossing,Fricative,Filler
4b.wav,tossing|tossin|tossing|trossing,possum|possuam|posom|posome|posuum|possom|posum|possim|possium|possoum|possuem|pssum,pension|penion|penson|pention|pencion|penshion|penision|penssion,tossing|tossin|tossing|trossing,Fricative,Shifted
25.wav,tower,happen,hoping,tower,Filler,Filler
27.wav,tulip,rugged|rugid,railing,tulip,Filler,Filler
23.wav,wacko|waco|wacco|wack0|wakko|wako|whacko|whacko?,tamer|taimer|tmaer,taco|tacco|tacko,tamer|taimer|tmaer,Filler,Filler
16_8b.wav,wacky|wackey|whacky|waxky|wackie|wakkie,talent|talen|talet|talen|taalent|tallent|talkent,bishop|bishope|biship|bishiop|bishop|bishp|bisshp|bisdhop|bishup,talent|talen|talet|talen|taalent|tallent|talkent,Filler,Shifted
16_8a.wav,wacky|wackey|whacky|waxky|wackie|wakkie,talent|talen|talet|talen|taalent|tallent|talkent,gossip|gosip|gossi|goosip|gossipp,talent|talen|talet|talen|taalent|tallent|talkent,Filler,Shifted
16.wav,wacky|wackey|whacky|waxky|wackie|wakkie,talent|talen|talet|talen|taalent|tallent|talkent,tacky|tackey|takcy|tackie,talent|talen|talet|talen|taalent|tallent|talkent,Filler,Filler
17.wav,weary|wary|warry|warey|weray|werry|wery,deepen|deepin|deppen|deapen|depeen|deapen|deepne|deapn|deepe,dairy|darry|derry|daiy|dary|deary|darrey,deepen|deepin|deppen|deapen|depeen|deapen|deepne|deapn|deepe,Filler,Filler
24.wav,yankee|yanke|yankey|yankie|yanky,dipper,donkey|domkey|doneky|donkee|donkeu|donkie,dipper,Filler,Filler
15.wav,yapping|yaping|yappin,nodded|knotted|knodded|nauded|naughted|noddeed|noded|nodid|notted|nooded|naughted|nottted,napping|nappin|naping,nodded|knotted|knodded|nauded|naughted|noddeed|noded|nodid|notted|nooded|naughted|nottted,Filler,Filler
15_7a.wav,yapping|yaping|yappin,nodded|knotted|knodded|nauded|naughted|noddeed|noded|nodid|notted|nooded|naughted|nottted,ransom|ranson|ramsom|ranspm|ransome|ansom|rasom,nodded|knotted|knodded|nauded|naughted|noddeed|noded|nodid|notted|nooded|naughted|nottted,Filler,Shifted
15_7b.wav,yapping|yaping|yappin,nodded|knotted|knodded|nauded|naughted|noddeed|noded|nodid|notted|nooded|naughted|nottted,ration|rashion|rashon|rasion|rassion|rashien|rashin,nodded|knotted|knodded|nauded|naughted|noddeed|noded|nodid|notted|nooded|naughted|nottted,Filler,Shifted
32.wav,yellow,piggy|piggie,pillow,piggy|piggie,Filler,Filler
